Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
100058970,0.0000,1829,10816.00,33560,3716,0,0,0,0,0,0,2068496.42,3817.68,0.00,0.00,0.00,0.00,0.00,0.00
100059970,0.0000,2046,10816.00,33562,3748,0,0,0,0,0,0,2130463.18,3244.54,0.00,0.00,0.00,0.00,0.00,0.00
100060970,0.0000,2026,10977.00,33563,3779,0,0,0,0,0,0,2070652.66,3997.47,0.00,0.00,0.00,0.00,0.00,0.00
100061970,0.0000,2117,10977.00,33563,3811,0,0,0,0,0,0,2070652.66,4612.75,0.00,0.00,0.00,0.00,0.00,0.00
100062970,0.0000,1940,10977.00,33563,3842,0,0,0,0,0,0,2070652.66,4485.95,0.00,0.00,0.00,0.00,0.00,0.00
100063970,0.0000,1940,10977.00,33563,3873,0,0,0,0,0,0,2070652.66,4158.37,0.00,0.00,0.00,0.00,0.00,0.00
100064976,0.0000,2112,10977.00,33565,3905,0,0,0,0,0,0,2080828.87,2235.91,0.00,0.00,0.00,0.00,0.00,0.00
100065976,0.0000,2054,10977.00,33565,3936,0,0,0,0,0,0,2080828.87,2919.67,0.00,0.00,0.00,0.00,0.00,0.00
100066982,0.0000,1936,10977.00,33565,3968,0,0,0,0,0,0,2080828.87,1866.16,0.00,0.00,0.00,0.00,0.00,0.00
100067982,0.0000,1999,10977.00,33565,3999,0,0,0,0,0,0,2080828.87,2390.23,0.00,0.00,0.00,0.00,0.00,0.00
100068982,0.0000,1999,10977.00,33565,4030,0,0,0,0,0,0,2080828.87,2229.04,0.00,0.00,0.00,0.00,0.00,0.00
100069983,0.0000,2046,10977.00,33567,4063,0,0,0,0,0,0,2141572.75,5394.09,0.00,0.00,0.00,0.00,0.00,0.00
100070988,0.0000,1829,10977.00,33567,4093,0,0,0,0,0,0,2141572.75,4285.06,0.00,0.00,0.00,0.00,0.00,0.00
100071988,0.0000,1999,10977.00,33567,4125,0,0,0,0,0,0,2141572.75,2794.84,0.00,0.00,0.00,0.00,0.00,0.00
100072989,0.0000,1995,10977.00,33567,4155,0,0,0,0,0,0,2141572.75,3205.22,0.00,0.00,0.00,0.00,0.00,0.00
100073995,0.0000,2058,10977.00,33567,4187,0,0,0,0,0,0,2141572.75,3093.55,0.00,0.00,0.00,0.00,0.00,0.00
100074995,0.0000,2045,10977.00,33569,4219,0,0,0,0,0,0,2194944.43,3735.29,0.00,0.00,0.00,0.00,0.00,0.00
100075995,0.0000,1971,10842.00,33570,4250,0,0,0,0,0,0,2134665.43,2750.22,0.00,0.00,0.00,0.00,0.00,0.00
100077001,0.0000,2117,10842.00,33570,4282,0,0,0,0,0,0,2134665.43,1055.38,0.00,0.00,0.00,0.00,0.00,0.00
100078001,0.0000,1999,10842.00,33570,4312,0,0,0,0,0,0,2134665.43,2692.37,0.00,0.00,0.00,0.00,0.00,0.00
100079001,0.0000,1999,10842.00,33570,4344,0,0,0,0,0,0,2134665.43,4601.93,0.00,0.00,0.00,0.00,0.00,0.00
100080001,0.0000,2101,10842.00,33572,4376,0,0,0,0,0,0,2137536.16,3516.41,0.00,0.00,0.00,0.00,0.00,0.00
100081007,0.0000,1999,10842.00,33572,4407,0,0,0,0,0,0,2137536.16,3375.62,0.00,0.00,0.00,0.00,0.00,0.00
100082007,0.0000,1999,10842.00,33572,4440,0,0,0,0,0,0,2137536.16,3030.73,0.00,0.00,0.00,0.00,0.00,0.00
100083007,0.0000,1888,10842.00,33572,4471,0,0,0,0,0,0,2137536.16,2580.85,0.00,0.00,0.00,0.00,0.00,0.00
100084007,0.0000,1999,10842.00,33572,4502,0,0,0,0,0,0,2137536.16,2043.33,0.00,0.00,0.00,0.00,0.00,0.00
100085007,0.0000,2046,10842.00,33574,4533,0,0,0,0,0,0,2191632.33,3932.81,0.00,0.00,0.00,0.00,0.00,0.00
100086013,0.0000,2054,10842.00,33574,4564,0,0,0,0,0,0,2191632.33,3570.02,0.00,0.00,0.00,0.00,0.00,0.00
