Timestamp(ms),IP_Address,RTT(ms),SequenceNum
580058,192.168.1.8,559843,374
581551,192.168.1.15,561328,375
581564,192.168.1.8,561340,375
583080,192.168.1.15,562848,376
583092,192.168.1.8,562859,376
584583,192.168.1.15,564342,377
584597,192.168.1.8,564355,377
586100,192.168.1.15,565851,378
586137,192.168.1.8,565886,378
587593,192.168.1.15,567335,379
587612,192.168.1.8,567353,379
589091,192.168.1.15,568824,380
589104,192.168.1.8,568836,380
590599,192.168.1.15,570323,381
590612,192.168.1.8,570335,381
592101,192.168.1.15,571816,382
592107,192.168.1.8,571821,382
593596,192.168.1.15,573303,383
593608,192.168.1.8,573313,383
595094,192.168.1.15,574792,384
595094,192.168.1.8,574791,384
596606,192.168.1.15,576295,385
596631,192.168.1.8,576319,385
598112,192.168.1.15,577792,386
598136,192.168.1.8,577815,386
599620,192.168.1.15,579291,387
599639,192.168.1.8,579309,387
601129,192.168.1.15,580792,388
601135,192.168.1.8,580796,388
602638,192.168.1.15,582292,389
602663,192.168.1.8,582316,389
604141,192.168.1.15,583786,390
604141,192.168.1.8,583785,390
605646,192.168.1.15,585282,391
605659,192.168.1.8,585294,391
607161,192.168.1.15,586789,392
607179,192.168.1.8,586805,392
608683,192.168.1.15,588302,393
608689,192.168.1.8,588306,393
610196,192.168.1.15,589806,394
610202,192.168.1.8,589811,394
611710,192.168.1.15,591311,395
611722,192.168.1.8,591322,395
613209,192.168.1.15,592801,396
613228,192.168.1.8,592819,396
614732,192.168.1.15,594316,397
614756,192.168.1.8,594338,397
616239,192.168.1.15,595813,398
616252,192.168.1.8,595825,398
617767,192.168.1.15,597333,399
617773,192.168.1.8,597337,399
619283,192.168.1.15,598840,400
619296,192.168.1.8,598852,400
620774,192.168.1.15,600322,401
620787,192.168.1.8,600334,401
622284,192.168.1.15,601823,402
622284,192.168.1.8,601822,402
623792,192.168.1.15,603320,403
623792,192.168.1.8,603319,403
625323,192.168.1.15,604840,404
625336,192.168.1.8,604852,404
626833,192.168.1.15,606341,405
626866,192.168.1.8,606373,405
628339,192.168.1.15,607839,406
628339,192.168.1.8,607837,406
629860,192.168.1.15,609350,407
629861,192.168.1.8,609349,407
